Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of December 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started,,,,,
43,Upgrading of Yangco-Rang-ay Road,Banga,CY 2018 20% LDF,100.00%,100.00%,0.00%," 10,985,324.48 ",165,7/4/18,12/15/18,12/15/18,ME Dondiego,FH GOPITEO CONST. & SUPPLY,Completed
44,"Completion of Barangay Hall, Brgy. Rizal, Poblacion",Banga,CY 2018 CONT. APPRO. GF #123,17.89%,15.37%,2.52%," 893,970.00 ",60,10/25/18,1/17/19,,CJ HICBAN,NIRVANA CONST. & SUPPLIES,"Resuemd as of December 10, 2018"
45,Completion of Sports Learning Center @ El Nonok integrated School,Banga,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,3.67%,6.24%,-2.57%," 997,315.63 ",90,12/12/18,3/11/19,,CJ HICBAN,THREE G BUILDERS,On-going
46,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,2.96%,71.90%,-68.94%," 2,692,684.72 ",60,11/1/16,12/1/18,,CJ HICBAN,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of Nov. 28, 2018 due to scarcity of bamboos & request of landowner to resurvey the project site"
47,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,CJ HICBAN,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem"
48,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,74.06%,100.00%,-25.94%," 375,786.23 ",40,12/21/17,9/14/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; variation order, final quantification of quantities & time extension is on process"
49,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,100.00%,100.00%,0.00%," 1,962,026.71 ",145,4/8/18,8/30/18,12/17/18,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,Completed
50,Upgrading of Jct. provincial Road-Lopez Jaena to Brgy. Katipunan,Norala & Sto. Niño,CY 2018 20% LDF #4.2.14,81.50%,29.33%,52.17%," 9,988,834.34 ",162,9/6/18,2/14/19,,A SOBREVEGA,FREDEN CONSTRUCTION,On-going
51,Upgrading of jct. Nhwy. Panay-San Vicente-Guinsang-an Road,Sto. Niño,2018 20% LDF,13.79%,5.58%,8.21%," 14,976,633.83 ",165,11/14/18,4/27/18,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going
52,"Construction of Day Care Center, Brgy. M. Roxas",Sto. Niño,CY 2018 Cont. Appro SEF #44,43.27%,28.60%,14.67%," 1,391,639.27 ",90,11/21/18,2/18/19,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
