Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of March  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
62,Repair of Classroom of Billeting Quarters for SRAA CY 2018 - Cluster I,"Banga, Surallah",CY 2017 20% SEF,100.00%,100.00%,0.00%," 2,316,996.80 ",25,2/6/18,3/2/18,3/2/18,K SERVAÑEZ,C.A BETALAC CONST. & GEN. MDSE.,Completed
63,Repair of Classroom of Billeting Quarters for SRAA CY 2018 - Cluster II,"Tampakan, Tantangan",CY 2017 20% SEF,100.00%,100.00%,0.00%," 1,234,885.74 ",25,2/8/18,3/4/18,3/4/18,Z TUMALA,MFN BUILDERS,Completed
64,Renovation/Construction of Datal D'lanag BHS,T'boli,CY 2017 20% SEF,100.00%,100.00%,0.00%," 220,027.50 ",20,3/6/18,3/25/18,3/25/18,MJ DAUZ,JAMI CONST. & SUPPLY,Completed
65,"Labor for the Installation of Pumping Station & Irrigation System Provincial Scion Grove, Nursery, Research & Demonstration Farm",Banga,2018 Cont. Appropriation GF #48,50.00%,50.00%,0.00%," 36,000.00 ",30,3/19/18,4/17/18,,MJ DAUZ,ROMEO TERCINP,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,Recommending Approval:,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,JOSEPHINE V. JANUTO,,,,"CASIMERO D. PADILLA, JR.",,,,GENEROSA P. CAPUNDAN,,,"VICENTE P. AYONGAO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer II-OIC Chief, Lower Valley Section",,,,Engineer III-OIC,,,,Assistant Provincial Engineer,,,"Engineer IV-OIC, Provincial Engineer",
,,,,,,Chief Const. & Maint. Division,,,,,,,,
