Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of August 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
2,Upgrading of Jct. Palkan-Cannery-Jct. Upper Klinan Road (2017),Polomolok,CMGP CY 2017,73.42%,82.58%,-9.16%," 65,098,979.00 ",140,10/10/17,5/7/18,,J JANUTO,RITCHIE-NATHALIE BUILDERS & GEM. MDSE,On-going
3,Upgrading of NHWY Jct. Colungulo-Moloy-Duengas-Talahik Road,Surallah,CMGP CY 2017,89.54%,100.00%,-10.46%," 41,120,974.15 ",115,10/10/17,6/7/18,,ME Dondiego,BETTER WORK CONSTRUCTION,"On-going; project expired as of June 7, 2018"
4,Upgrading of Centrala-Naci-Lambontong Road,Surallah,CMGP CY 2018,1.49%,1.81%,-0.32%," 31,553,343.91 ",168,8/7/18,1/21/19,,ME Dondiego,FH Gopiteo Const.& Supply,On-going
5,Upgrading of Tampakan-Tablu Boundary Road,Tampakan,CMGP CY 2018,0.68%,0.65%,0.03%," 19,295,000.00 ",126,8/16/18,12/19/18,,A. Demetillo,FREDEN CONSTRUCTION,On-going
6,Upgrading of Tampakan-Sta. Cruz-Topland Boundary Road,Tampakan,CMGP CY 2018,0.40%,6.00%,-5.60%," 22,179,490.33 ",146,8/8/18,12/31/18,,A. Demetillo,Dalanon Construction,On-going
7,Upgrading of Jct.Nhwy. New Iloilo-Cabuling-New Lambunao Boundary Road,Tantangan,CMGP CY 2018,1.59%,1.87%,-0.28%," 33,866,533.26 ",172,8/7/18,1/25/19,,S. Rentoza,Reydan Builders,On-going
8,Upgrading of Jct. Nhwy. Poblacion - Tantangan-Tacub-Tinago Boundary Road,Tantangan,CMGP CY 2018,3.13%,3.82%,-0.69%," 23,825,000.00 ",152,8/7/18,1/5/19,,S. Rentoza,FREDEN CONSTRUCTION,On-going
9,Upgrading of Jct Nhwy - Sulit - Bentung - Crossing Aflek Rd,Polomolok,CMGP CY 2018,8.24%,4.59%,3.65%," 15,760,000.00 ",113,8/7/18,11/28/18,,J JANUTO,FREDEN CONSTRUCTION,On-going
10,Upgrading of Nhwy - Cebuano - Kipalbig Bdry Rd,Tupi,CMGP CY 2018,1.68%,0.19%,1.49%," 21,545,865.65 ",168,8/7/18,1/21/19,,A BARRIENTOS,HVC SAGITTARIUS COMMERCIAL & CONSTRUCTION,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,Recommending Approval:,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,"CASIMERO D. PADILLA, JR.",,,,"VICENTE P. AYONGAO, MPA",,,,GENEROSA P. CAPUNDAN,,,"MARNILO S. APEROCHO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer III-Chief, Lower Valley Section",,,,Engineer IV,,,,Assistant Provincial Engineer,,,Provincial Engineer,
,,,,,,Chief Const. & Maint. Division,,,,,,,,
