Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of April  25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started, of Completion,,,,
61,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,85.07%,100.00%,-14.93%," 4,992,486.84 ",85,11/9/17,2/1/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
62,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,51.94%,69.37%,-17.43%," 24,961,302.94 ",265,6/25/17,3/16/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
63,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,16.05%,32.34%,-16.29%," 4,995,579.03 ",80,12/25/17,3/14/18,,MJ Dauz,JAMI CONST. & SUPPLY,"Suspended as of Mar. 2, 2018 due to problem with the ROW from Sta. 0+000-Sta. 0+100"
64,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,0.12%,0.09%,0.03%," 19,990,000.00 ",180,4/22/18,10/18/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
65,Completion of Brgy. Hall @ Brgy. Talcon,T'boli,CY 2017 20% LDF,17.22%,11.00%,6.22%," 642,138.71 ",50,4/2/18,5/20/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,Recommending Approval:,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,JOSEPHINE V. JANUTO,,,,"CASIMERO D. PADILLA, JR.",,,,GENEROSA P. CAPUNDAN,,,"VICENTE P. AYONGAO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer II-OIC Chief, Lower Valley Section",,,,Engineer III-OIC,,,,Assistant Provincial Engineer,,,"Engineer IV-OIC, Provincial Engineer",
,,,,,,Chief Const. & Maint. Division,,,,,,,,
